DATE,"Civilian Labor Force Participation Rate Bachelor's Degree and Higher, 25 years and over"
1/1/1992,81.1
2/1/1992,81.2
3/1/1992,81.2
4/1/1992,81.5
5/1/1992,81.4
6/1/1992,81.8
7/1/1992,81.9
8/1/1992,81.4
9/1/1992,81.4
10/1/1992,81.2
11/1/1992,81
12/1/1992,81
1/1/1993,80.9
2/1/1993,80.9
3/1/1993,81.1
4/1/1993,81.1
5/1/1993,81.2
6/1/1993,81.9
7/1/1993,81.3
8/1/1993,81.1
9/1/1993,81.1
10/1/1993,81
11/1/1993,80.9
12/1/1993,81.1
1/1/1994,81.1
2/1/1994,80.7
3/1/1994,80.8
4/1/1994,81.2
5/1/1994,81.5
6/1/1994,81.2
7/1/1994,81.1
8/1/1994,81.2
9/1/1994,81.6
10/1/1994,81.3
11/1/1994,80.9
12/1/1994,81.1
1/1/1995,81.1
2/1/1995,80.7
3/1/1995,81.2
4/1/1995,81.6
5/1/1995,81.2
6/1/1995,81.2
7/1/1995,81.1
8/1/1995,80.6
9/1/1995,81
10/1/1995,80.7
11/1/1995,80.5
12/1/1995,80.7
1/1/1996,80.5
2/1/1996,80.4
3/1/1996,80.3
4/1/1996,80.2
5/1/1996,80.5
6/1/1996,80.9
7/1/1996,80.5
8/1/1996,80.5
9/1/1996,80.3
10/1/1996,80.5
11/1/1996,80.8
12/1/1996,80.7
1/1/1997,80.5
2/1/1997,80.2
3/1/1997,80.5
4/1/1997,80.6
5/1/1997,80.7
6/1/1997,80.6
7/1/1997,80.2
8/1/1997,80.5
9/1/1997,80.3
10/1/1997,80.3
11/1/1997,80.5
12/1/1997,80.6
1/1/1998,80.3
2/1/1998,79.8
3/1/1998,80.5
4/1/1998,80.4
5/1/1998,80.6
6/1/1998,80.5
7/1/1998,79.8
8/1/1998,80
9/1/1998,80.1
10/1/1998,80.1
11/1/1998,80.1
12/1/1998,80.3
1/1/1999,80.3
2/1/1999,79.6
3/1/1999,79.9
4/1/1999,79.7
5/1/1999,80.1
6/1/1999,80.4
7/1/1999,79.7
8/1/1999,80.2
9/1/1999,79.5
10/1/1999,79.7
11/1/1999,79.6
12/1/1999,80.1
1/1/2000,80.1
2/1/2000,79.5
3/1/2000,80
4/1/2000,79.9
5/1/2000,79.6
6/1/2000,79.7
7/1/2000,78.9
8/1/2000,78.8
9/1/2000,78.7
10/1/2000,78.6
11/1/2000,79.2
12/1/2000,79.6
1/1/2001,79.6
2/1/2001,78.8
3/1/2001,79.4
4/1/2001,79
5/1/2001,78.9
6/1/2001,78.7
7/1/2001,78.5
8/1/2001,78.6
9/1/2001,78.7
10/1/2001,78.4
11/1/2001,79
12/1/2001,79.2
1/1/2002,79
2/1/2002,79.2
3/1/2002,79.2
4/1/2002,78.9
5/1/2002,78.6
6/1/2002,78.5
7/1/2002,77.8
8/1/2002,78.2
9/1/2002,78.2
10/1/2002,78.2
11/1/2002,78.4
12/1/2002,78.9
1/1/2003,78.8
2/1/2003,78.6
3/1/2003,78.6
4/1/2003,78.1
5/1/2003,77.9
6/1/2003,78.3
7/1/2003,77.9
8/1/2003,77.6
9/1/2003,77.5
10/1/2003,77.8
11/1/2003,78.3
12/1/2003,78.5
1/1/2004,78.1
2/1/2004,78
3/1/2004,78.1
4/1/2004,77.7
5/1/2004,77.5
6/1/2004,77.8
7/1/2004,77.7
8/1/2004,77.6
9/1/2004,77.8
10/1/2004,77.7
11/1/2004,78.3
12/1/2004,78.3
1/1/2005,78.2
2/1/2005,78.2
3/1/2005,77.8
4/1/2005,77.9
5/1/2005,77.5
6/1/2005,77.6
7/1/2005,77.6
8/1/2005,77.9
9/1/2005,78.1
10/1/2005,77.8
11/1/2005,77.9
12/1/2005,78.3
1/1/2006,78.2
2/1/2006,78.3
3/1/2006,78
4/1/2006,77.8
5/1/2006,77.6
6/1/2006,77.7
7/1/2006,77.5
8/1/2006,77.5
9/1/2006,78
10/1/2006,77.7
11/1/2006,78.2
12/1/2006,78.2
1/1/2007,78.3
2/1/2007,78.7
3/1/2007,78.4
4/1/2007,77.7
5/1/2007,78
6/1/2007,78
7/1/2007,77.2
8/1/2007,77.2
9/1/2007,77.5
10/1/2007,77.1
11/1/2007,77.8
12/1/2007,78
1/1/2008,78.1
2/1/2008,78.4
3/1/2008,78.5
4/1/2008,78.1
5/1/2008,77.8
6/1/2008,78.1
7/1/2008,77.1
8/1/2008,77.3
9/1/2008,77.6
10/1/2008,77.5
11/1/2008,77.7
12/1/2008,77.9
1/1/2009,77.6
2/1/2009,77.8
3/1/2009,77.7
4/1/2009,77.6
5/1/2009,77.8
6/1/2009,77.8
7/1/2009,76.9
8/1/2009,77
9/1/2009,77.4
10/1/2009,77.4
11/1/2009,77.4
12/1/2009,77.2
1/1/2010,77
2/1/2010,76.8
3/1/2010,76.8
4/1/2010,77
5/1/2010,77.1
6/1/2010,77.2
7/1/2010,76.4
8/1/2010,75.9
9/1/2010,76.7
10/1/2010,76.2
11/1/2010,76.6
12/1/2010,77.1
1/1/2011,76.4
2/1/2011,76.6
3/1/2011,76.5
4/1/2011,76.8
5/1/2011,77.3
6/1/2011,76.8
7/1/2011,76.3
8/1/2011,76.1
9/1/2011,76.5
10/1/2011,76
11/1/2011,76
12/1/2011,76.1
1/1/2012,75.6
2/1/2012,76
3/1/2012,76.1
4/1/2012,76.1
5/1/2012,76.7
6/1/2012,76
7/1/2012,75.9
8/1/2012,75.7
9/1/2012,76.2
10/1/2012,75.5
11/1/2012,75.4
12/1/2012,75.9
1/1/2013,75.7
2/1/2013,75.5
3/1/2013,75.4
4/1/2013,75.7
5/1/2013,75.6
6/1/2013,75.5
7/1/2013,75.4
8/1/2013,75.5
9/1/2013,75.4
10/1/2013,75.2
11/1/2013,75.1
12/1/2013,75.2
1/1/2014,75.6
2/1/2014,75
3/1/2014,74.8
4/1/2014,75.4
5/1/2014,75.3
6/1/2014,75.1
7/1/2014,74.5
8/1/2014,74.7
9/1/2014,74.6
10/1/2014,74.7
11/1/2014,74.8
12/1/2014,74.7
1/1/2015,74.6
2/1/2015,74.2
3/1/2015,74.3
4/1/2015,74.7
5/1/2015,75.1
6/1/2015,74.5
7/1/2015,74.3
8/1/2015,74.3
9/1/2015,74.3
10/1/2015,74.3
11/1/2015,74.1
12/1/2015,74.3
1/1/2016,73.9
2/1/2016,73.6
3/1/2016,74.5
4/1/2016,74.4
5/1/2016,74.3
6/1/2016,74.3
7/1/2016,73.8
8/1/2016,74.1
9/1/2016,74.2
10/1/2016,74.2
11/1/2016,73.9
12/1/2016,73.7
1/1/2017,73.9
2/1/2017,73.3
3/1/2017,73.7
4/1/2017,74.1
5/1/2017,73.9
6/1/2017,74
7/1/2017,73.8
8/1/2017,74
9/1/2017,74.2
10/1/2017,73.9
11/1/2017,73.6
12/1/2017,73.4
1/1/2018,73.4
2/1/2018,73.6
3/1/2018,74.1
4/1/2018,74.2
5/1/2018,74.1
6/1/2018,74
7/1/2018,73.6
8/1/2018,74.1
9/1/2018,73.6
10/1/2018,73.5
11/1/2018,73.8
12/1/2018,73.6
