DATE,Civilians Not in Labor Force
1/1/1975,58627
2/1/1975,59214
3/1/1975,59052
4/1/1975,59044
5/1/1975,58820
6/1/1975,59400
7/1/1975,59288
8/1/1975,59418
9/1/1975,59646
10/1/1975,59815
11/1/1975,60088
12/1/1975,60180
1/1/1976,59919
2/1/1976,60068
3/1/1976,60091
4/1/1976,59783
5/1/1976,59918
6/1/1976,60142
7/1/1976,59693
8/1/1976,59784
9/1/1976,60226
10/1/1976,60289
11/1/1976,59981
12/1/1976,60090
1/1/1977,60480
2/1/1977,60128
3/1/1977,60016
4/1/1977,60041
5/1/1977,59992
6/1/1977,59836
7/1/1977,60272
8/1/1977,60064
9/1/1977,60221
10/1/1977,60100
11/1/1977,59553
12/1/1977,59886
1/1/1978,59744
2/1/1978,59994
3/1/1978,59946
4/1/1978,59689
5/1/1978,59622
6/1/1978,59424
7/1/1978,59635
8/1/1978,59748
9/1/1978,59707
10/1/1978,59703
11/1/1978,59455
12/1/1978,59463
1/1/1979,59459
2/1/1979,59224
3/1/1979,59438
4/1/1979,59990
5/1/1979,60288
6/1/1979,60082
7/1/1979,59968
8/1/1979,60102
9/1/1979,59901
10/1/1979,60113
11/1/1979,60239
12/1/1979,60042
1/1/1980,59982
2/1/1980,60062
3/1/1980,60542
4/1/1980,60606
5/1/1980,60478
6/1/1980,60863
7/1/1980,60773
8/1/1980,60998
9/1/1980,61199
10/1/1980,61098
11/1/1980,61127
12/1/1980,61531
1/1/1981,61078
2/1/1981,61038
3/1/1981,60900
4/1/1981,60716
5/1/1981,60607
6/1/1981,61646
7/1/1981,61690
8/1/1981,61674
9/1/1981,62299
10/1/1981,61785
11/1/1981,61760
12/1/1981,62254
1/1/1982,62246
2/1/1982,62022
3/1/1982,62100
4/1/1982,62024
5/1/1982,61575
6/1/1982,62109
7/1/1982,62022
8/1/1982,61997
9/1/1982,61969
10/1/1982,62137
11/1/1982,62008
12/1/1982,62116
1/1/1983,62659
2/1/1983,62871
3/1/1983,63069
4/1/1983,62966
5/1/1983,63157
6/1/1983,62246
7/1/1983,62550
8/1/1983,62209
9/1/1983,62304
10/1/1983,62853
11/1/1983,62723
12/1/1983,62794
1/1/1984,63324
2/1/1984,63064
3/1/1984,63111
4/1/1984,62871
5/1/1984,62474
6/1/1984,62467
7/1/1984,62468
8/1/1984,62901
9/1/1984,62906
10/1/1984,62937
11/1/1984,62965
12/1/1984,62725
1/1/1985,62659
2/1/1985,62640
3/1/1985,62339
4/1/1985,62468
5/1/1985,62710
6/1/1985,63131
7/1/1985,62943
8/1/1985,63114
9/1/1985,62667
10/1/1985,62625
11/1/1985,62805
12/1/1985,62758
1/1/1986,62988
2/1/1986,62939
3/1/1986,62765
4/1/1986,62832
5/1/1986,62783
6/1/1986,62419
7/1/1986,62553
8/1/1986,62678
9/1/1986,62602
10/1/1986,62670
11/1/1986,62729
12/1/1986,62936
1/1/1987,62982
2/1/1987,62876
3/1/1987,62909
4/1/1987,63008
5/1/1987,62525
6/1/1987,63059
7/1/1987,62983
8/1/1987,62684
9/1/1987,63150
10/1/1987,62802
11/1/1987,62930
12/1/1987,62891
1/1/1988,62853
2/1/1988,62813
3/1/1988,63198
4/1/1988,62981
5/1/1988,63303
6/1/1988,63089
7/1/1988,63064
8/1/1988,62705
9/1/1988,63002
10/1/1988,62908
11/1/1988,62607
12/1/1988,62780
1/1/1989,62254
2/1/1989,62642
3/1/1989,62670
4/1/1989,62459
5/1/1989,62707
6/1/1989,62334
7/1/1989,62516
8/1/1989,62432
9/1/1989,62782
10/1/1989,62660
11/1/1989,62380
12/1/1989,62668
1/1/1990,62580
2/1/1990,62806
3/1/1990,62829
4/1/1990,63129
5/1/1990,63020
6/1/1990,63485
7/1/1990,63456
8/1/1990,63352
9/1/1990,63636
10/1/1990,63715
11/1/1990,63802
12/1/1990,63875
1/1/1991,64208
2/1/1991,64251
3/1/1991,64143
4/1/1991,63969
5/1/1991,64474
6/1/1991,64469
7/1/1991,64792
8/1/1991,64966
9/1/1991,64652
10/1/1991,64855
11/1/1991,64956
12/1/1991,65134
1/1/1992,64692
2/1/1992,64860
3/1/1992,64600
4/1/1992,64513
5/1/1992,64384
6/1/1992,64204
7/1/1992,64263
8/1/1992,64405
9/1/1992,64728
10/1/1992,65416
11/1/1992,65180
12/1/1992,65230
1/1/1993,65562
2/1/1993,65650
3/1/1993,65650
4/1/1993,65814
5/1/1993,65285
6/1/1993,65308
7/1/1993,65485
8/1/1993,65444
9/1/1993,65991
10/1/1993,65871
11/1/1993,65914
12/1/1993,65853
1/1/1994,65357
2/1/1994,65421
3/1/1994,65813
4/1/1994,65742
5/1/1994,65731
6/1/1994,66132
7/1/1994,66207
8/1/1994,65768
9/1/1994,65827
10/1/1994,65686
11/1/1994,65716
12/1/1994,65814
1/1/1995,65715
2/1/1995,65770
3/1/1995,65899
4/1/1995,65558
5/1/1995,66435
6/1/1995,66504
7/1/1995,66272
8/1/1995,66465
9/1/1995,66394
10/1/1995,66476
11/1/1995,66741
12/1/1995,66997
1/1/1996,67018
2/1/1996,66820
3/1/1996,66741
4/1/1996,66692
5/1/1996,66611
6/1/1996,66762
7/1/1996,66357
8/1/1996,66793
9/1/1996,66546
10/1/1996,66352
11/1/1996,66456
12/1/1996,66523
1/1/1997,66829
2/1/1997,66988
3/1/1997,66622
4/1/1997,66658
5/1/1997,66713
6/1/1997,66789
7/1/1997,66689
8/1/1997,66746
9/1/1997,66895
10/1/1997,67134
11/1/1997,66980
12/1/1997,66943
1/1/1998,67143
2/1/1998,67288
3/1/1998,67311
4/1/1998,67581
5/1/1998,67527
6/1/1998,67630
7/1/1998,67682
8/1/1998,67910
9/1/1998,67413
10/1/1998,67640
11/1/1998,67723
12/1/1998,67635
1/1/1999,67715
2/1/1999,67906
3/1/1999,68306
4/1/1999,68277
5/1/1999,68320
6/1/1999,68304
7/1/1999,68390
8/1/1999,68609
9/1/1999,68642
10/1/1999,68712
11/1/1999,68641
12/1/1999,68655
1/1/2000,69142
2/1/2000,69120
3/1/2000,69338
4/1/2000,69267
5/1/2000,69853
6/1/2000,69876
7/1/2000,70398
8/1/2000,70401
9/1/2000,70645
10/1/2000,70782
11/1/2000,70579
12/1/2000,70488
1/1/2001,70088
2/1/2001,70409
3/1/2001,70381
4/1/2001,70956
5/1/2001,71414
6/1/2001,71592
7/1/2001,71526
8/1/2001,72136
9/1/2001,71676
10/1/2001,71817
11/1/2001,71876
12/1/2001,72010
1/1/2002,72623
2/1/2002,72010
3/1/2002,72343
4/1/2002,72281
5/1/2002,72260
6/1/2002,72600
7/1/2002,72827
8/1/2002,72856
9/1/2002,72554
10/1/2002,73026
11/1/2002,73508
12/1/2002,73675
1/1/2003,73960
2/1/2003,74015
3/1/2003,74295
4/1/2003,74066
5/1/2003,74268
6/1/2003,73958
7/1/2003,74767
8/1/2003,75062
9/1/2003,75249
10/1/2003,75324
11/1/2003,75280
12/1/2003,75780
1/1/2004,75319
2/1/2004,75648
3/1/2004,75606
4/1/2004,75907
5/1/2004,75903
6/1/2004,75735
7/1/2004,75730
8/1/2004,76113
9/1/2004,76526
10/1/2004,76399
11/1/2004,76259
12/1/2004,76581
1/1/2005,76808
2/1/2005,76677
3/1/2005,76846
4/1/2005,76514
5/1/2005,76409
6/1/2005,76673
7/1/2005,76721
8/1/2005,76642
9/1/2005,76739
10/1/2005,76958
11/1/2005,77138
12/1/2005,77394
1/1/2006,77339
2/1/2006,77122
3/1/2006,77161
4/1/2006,77318
5/1/2006,77359
6/1/2006,77317
7/1/2006,77535
8/1/2006,77451
9/1/2006,77757
10/1/2006,77634
11/1/2006,77499
12/1/2006,77376
1/1/2007,77506
2/1/2007,77851
3/1/2007,77982
4/1/2007,78818
5/1/2007,78810
6/1/2007,78671
7/1/2007,78904
8/1/2007,79461
9/1/2007,79047
10/1/2007,79532
11/1/2007,79105
12/1/2007,79238
1/1/2008,78554
2/1/2008,79156
3/1/2008,79087
4/1/2008,79429
5/1/2008,79102
6/1/2008,79314
7/1/2008,79395
8/1/2008,79466
9/1/2008,79790
10/1/2008,79736
11/1/2008,80189
12/1/2008,80380
1/1/2009,80529
2/1/2009,80374
3/1/2009,80953
4/1/2009,80762
5/1/2009,80705
6/1/2009,80938
7/1/2009,81367
8/1/2009,81780
9/1/2009,82495
10/1/2009,82766
11/1/2009,82865
12/1/2009,83813
1/1/2010,83349
2/1/2010,83304
3/1/2010,83206
4/1/2010,82707
5/1/2010,83409
6/1/2010,84075
7/1/2010,84199
8/1/2010,84014
9/1/2010,84347
10/1/2010,84895
11/1/2010,84590
12/1/2010,85240
1/1/2011,85441
2/1/2011,85637
3/1/2011,85623
4/1/2011,85603
5/1/2011,85834
6/1/2011,86144
7/1/2011,86383
8/1/2011,86111
9/1/2011,85940
10/1/2011,86308
11/1/2011,86312
12/1/2011,86589
1/1/2012,87888
2/1/2012,87765
3/1/2012,87855
4/1/2012,88239
5/1/2012,88100
6/1/2012,88073
7/1/2012,88405
8/1/2012,88803
9/1/2012,88613
10/1/2012,88429
11/1/2012,88836
12/1/2012,88722
1/1/2013,88900
2/1/2013,89516
3/1/2013,89990
4/1/2013,89780
5/1/2013,89827
6/1/2013,89803
7/1/2013,90156
8/1/2013,90355
9/1/2013,90481
10/1/2013,91708
11/1/2013,91302
12/1/2013,91563
1/1/2014,91563
2/1/2014,91603
3/1/2014,91230
4/1/2014,92070
5/1/2014,91938
6/1/2014,92107
7/1/2014,92016
8/1/2014,92099
9/1/2014,92406
10/1/2014,92240
11/1/2014,92350
12/1/2014,92695
1/1/2015,92671
2/1/2015,93237
3/1/2015,93454
4/1/2015,93249
5/1/2015,92839
6/1/2015,93649
7/1/2015,93868
8/1/2015,93931
9/1/2015,94580
10/1/2015,94353
11/1/2015,94245
12/1/2015,93856
1/1/2016,94026
2/1/2016,93872
3/1/2016,93689
4/1/2016,94077
5/1/2016,94475
6/1/2016,94498
7/1/2016,94470
8/1/2016,94272
9/1/2016,94281
10/1/2016,94553
11/1/2016,94911
12/1/2016,94963
1/1/2017,94389
2/1/2017,94392
3/1/2017,94378
4/1/2017,94419
5/1/2017,94857
6/1/2017,94833
7/1/2017,94769
8/1/2017,94651
9/1/2017,94372
10/1/2017,95330
11/1/2017,95323
12/1/2017,95473
1/1/2018,95657
2/1/2018,95033
3/1/2018,95451
4/1/2018,95721
5/1/2018,95787
6/1/2018,95513
7/1/2018,95633
8/1/2018,96264
9/1/2018,96235
10/1/2018,95821
11/1/2018,95886
12/1/2018,95649
