DATE,Real gross domestic product per capita
1/1/1947,14203
4/1/1947,14101
7/1/1947,14008
10/1/1947,14161
1/1/1948,14316
4/1/1948,14495
7/1/1948,14515
10/1/1948,14464
1/1/1949,14202
4/1/1949,14098
7/1/1949,14182
10/1/1949,13999
1/1/1950,14490
4/1/1950,14879
7/1/1950,15388
10/1/1950,15612
1/1/1951,15759
4/1/1951,15968
7/1/1951,16223
10/1/1951,16181
1/1/1952,16288
4/1/1952,16259
7/1/1952,16306
10/1/1952,16765
1/1/1953,17013
4/1/1953,17082
7/1/1953,16908
10/1/1953,16574
1/1/1954,16425
4/1/1954,16376
7/1/1954,16485
10/1/1954,16726
1/1/1955,17132
4/1/1955,17341
7/1/1955,17496
10/1/1955,17516
1/1/1956,17376
4/1/1956,17449
7/1/1956,17352
10/1/1956,17550
1/1/1957,17583
4/1/1957,17473
7/1/1957,17566
10/1/1957,17305
1/1/1958,16793
4/1/1958,16839
7/1/1958,17154
10/1/1958,17475
1/1/1959,17734
4/1/1959,18064
7/1/1959,18000
10/1/1959,17972
1/1/1960,18268
4/1/1960,18060
7/1/1960,18059
10/1/1960,17756
1/1/1961,17816
4/1/1961,18049
7/1/1961,18319
10/1/1961,18598
1/1/1962,18863
4/1/1962,18967
7/1/1962,19126
10/1/1962,19111
1/1/1963,19257
4/1/1963,19410
7/1/1963,19761
10/1/1963,19814
1/1/1964,20169
4/1/1964,20324
7/1/1964,20567
10/1/1964,20558
1/1/1965,20997
4/1/1965,21205
7/1/1965,21604
10/1/1965,22030
1/1/1966,22510
4/1/1966,22528
7/1/1966,22650
10/1/1966,22766
1/1/1967,22911
4/1/1967,22869
7/1/1967,23020
10/1/1967,23129
1/1/1968,23551
4/1/1968,23889
7/1/1968,24009
10/1/1968,24039
1/1/1969,24365
4/1/1969,24383
7/1/1969,24475
10/1/1969,24284
1/1/1970,24189
4/1/1970,24148
7/1/1970,24288
10/1/1970,23945
1/1/1971,24520
4/1/1971,24581
7/1/1971,24707
10/1/1971,24689
1/1/1972,25083
4/1/1972,25592
7/1/1972,25767
10/1/1972,26129
1/1/1973,26718
4/1/1973,26949
7/1/1973,26741
10/1/1973,26929
1/1/1974,26643
4/1/1974,26649
7/1/1974,26330
10/1/1974,26160
1/1/1975,25789
4/1/1975,25911
7/1/1975,26277
10/1/1975,26562
1/1/1976,27101
4/1/1976,27242
7/1/1976,27321
10/1/1976,27446
1/1/1977,27706
4/1/1977,28177
7/1/1977,28605
10/1/1977,28525
1/1/1978,28549
4/1/1978,29577
7/1/1978,29787
10/1/1978,30100
1/1/1979,30077
4/1/1979,30031
7/1/1979,30163
10/1/1979,30145
1/1/1980,30154
4/1/1980,29451
7/1/1980,29328
10/1/1980,29794
1/1/1981,30316
4/1/1981,30023
7/1/1981,30300
10/1/1981,29892
1/1/1982,29365
4/1/1982,29434
7/1/1982,29247
10/1/1982,29186
1/1/1983,29511
4/1/1983,30120
7/1/1983,30647
10/1/1983,31213
1/1/1984,31762
4/1/1984,32246
7/1/1984,32478
10/1/1984,32665
1/1/1985,32920
4/1/1985,33140
7/1/1985,33560
10/1/1985,33725
1/1/1986,33972
4/1/1986,34053
7/1/1986,34294
10/1/1986,34396
1/1/1987,34585
4/1/1987,34885
7/1/1987,35101
10/1/1987,35615
1/1/1988,35728
4/1/1988,36122
7/1/1988,36239
10/1/1988,36631
1/1/1989,36929
4/1/1989,37127
7/1/1989,37299
10/1/1989,37271
1/1/1990,37593
4/1/1990,37612
7/1/1990,37505
10/1/1990,37032
1/1/1991,36746
4/1/1991,36914
7/1/1991,36969
10/1/1991,36971
1/1/1992,37304
4/1/1992,37583
7/1/1992,37815
10/1/1992,38077
1/1/1993,38029
4/1/1993,38135
7/1/1993,38186
10/1/1993,38582
1/1/1994,38852
4/1/1994,39263
7/1/1994,39366
10/1/1994,39695
1/1/1995,39729
4/1/1995,39735
7/1/1995,39944
10/1/1995,40092
1/1/1996,40292
4/1/1996,40848
7/1/1996,41080
10/1/1996,41375
1/1/1997,41532
4/1/1997,42102
7/1/1997,42487
10/1/1997,42719
1/1/1998,43035
4/1/1998,43315
7/1/1998,43721
10/1/1998,44293
1/1/1999,44600
4/1/1999,44820
7/1/1999,45263
10/1/1999,45894
1/1/2000,45944
4/1/2000,46669
7/1/2000,46605
10/1/2000,46771
1/1/2001,46531
4/1/2001,46693
7/1/2001,46378
10/1/2001,46386
1/1/2002,46690
4/1/2002,46868
7/1/2002,46958
10/1/2002,46916
1/1/2003,47078
4/1/2003,47378
7/1/2003,48063
10/1/2003,48499
1/1/2004,48663
4/1/2004,48927
7/1/2004,49267
10/1/2004,49637
1/1/2005,50081
4/1/2005,50204
7/1/2005,50523
10/1/2005,50715
1/1/2006,51277
4/1/2006,51281
7/1/2006,51228
10/1/2006,51532
1/1/2007,51540
4/1/2007,51719
7/1/2007,51866
10/1/2007,52049
1/1/2008,51637
4/1/2008,51790
7/1/2008,51384
10/1/2008,50154
1/1/2009,49491
4/1/2009,49318
7/1/2009,49384
10/1/2009,49811
1/1/2010,49903
4/1/2010,50271
7/1/2010,50540
10/1/2010,50691
1/1/2011,50485
4/1/2011,50760
7/1/2011,50644
10/1/2011,51131
1/1/2012,51446
4/1/2012,51582
7/1/2012,51550
10/1/2012,51508
1/1/2013,51886
4/1/2013,51868
7/1/2013,52171
10/1/2013,52481
1/1/2014,52261
4/1/2014,52825
7/1/2014,53354
10/1/2014,53496
1/1/2015,53849
4/1/2015,54201
7/1/2015,54222
10/1/2015,54167
1/1/2016,54287
4/1/2016,54504
7/1/2016,54657
10/1/2016,54789
1/1/2017,54945
4/1/2017,55261
7/1/2017,55538
10/1/2017,55746
1/1/2018,55964
4/1/2018,56446
7/1/2018,56803
